,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
SLC26A8,33.8797264514155,-0.778734276370444,0.197402756288703,-3.94490072484874,7.98330458325652e-05,0.000206724184417459,Down
SLC26A9,34.4726330022104,-0.423379002235463,0.192791885039347,-2.19604161320926,0.0280889650252018,0.0437898655675255,NS
SLC27A1,3589.06658232309,-0.664946592418075,0.139136650749018,-4.77909011636007,1.76090261362863e-06,6.10747248385041e-06,Down
SLC27A3,442.862098184074,0.460769806886076,0.130340717371145,3.53511792921956,0.000407593209236055,0.000919918377686269,NS
SLC27A4,1568.64886263319,-0.391043694634182,0.091908118332231,-4.25472419335831,2.09306851145472e-05,6.00790240104916e-05,NS
SLC27A5,717.573042054393,-1.22735117369857,0.147729218047699,-8.30811392572514,9.72351531708713e-17,2.22926695800789e-15,Down
SLC27A6,30.555444591282,0.776594896380543,0.226045846796718,3.43556365837117,0.00059132252132887,0.00129445005613084,Up
SLC28A1,28.8384007408429,-0.836650076009371,0.210968099943485,-3.96576580171835,7.31606716798274e-05,0.000190923476319447,Down
SLC29A1,845.408622581331,0.410842077789881,0.0917168056394583,4.47946344102862,7.48309049540725e-06,2.32380954508227e-05,NS
SLC29A2,659.134354846955,-0.858659652266433,0.129287963200611,-6.64145084360315,3.1061034553027e-11,2.55153194769603e-10,Down
SLC29A3,295.112741160419,-0.152897062670433,0.104557003071417,-1.46233210764464,0.143650224111931,0.189664099380582,NS
SLC29A4,2395.94012023752,0.148777164026354,0.137960403183773,1.07840482191236,0.280853136079688,0.341919155842308,NS
SLC2A1,2053.17347901459,0.162597992253665,0.082190797131483,1.97829924916718,0.0478949577781363,0.0710306948062777,NS
SLC2A10,220.971146026628,1.3369110707094,0.14777061813077,9.04720496957185,1.46674536829364e-19,5.41095700412327e-18,Up
SLC2A11,789.93785717658,-0.475637472466006,0.0902296895554456,-5.2714076132749,1.35381429789941e-07,5.72119596029765e-07,NS
SLC2A12,62.1697038704524,0.299697386673361,0.151268654529978,1.98122596915125,0.047565938182369,0.0705878870521314,NS
SLC2A13,1197.84756133016,-0.365898360493509,0.167554318026476,-2.18375965957316,0.0289799133109527,0.0450619746013397,NS
SLC2A3,839.065314494345,0.427374054002712,0.13251323179355,3.22514248741999,0.00125909985798653,0.00258280157902659,NS
SLC2A4,93.7157075809011,-0.44953304834384,0.183652386865602,-2.44773866550839,0.0143755881711496,0.023769435386992,NS
SLC2A4RG,1827.01052128077,0.445924914799077,0.127725351381623,3.4912796087499,0.000480712882727062,0.00106904117172567,NS
SLC2A5,1181.92550513043,0.00329491413685547,0.145222502502546,0.0226887299149641,0.981898565748037,0.985419656190314,NS
SLC2A6,220.647568614154,0.137540176520148,0.130909437066031,1.05065134800612,0.293418748606552,0.355351274146202,NS
SLC2A8,954.305443070753,-0.379406259358649,0.0819011015215862,-4.6324927541866,3.61288984182663e-06,1.19050807780207e-05,NS
SLC2A9,55.6866228140769,0.476355991005396,0.134909176584445,3.53093839177963,0.000414088184699991,0.000933409167344848,NS
SLC30A1,719.253554854325,0.463087712426373,0.0867971832540619,5.33528502959457,9.53945867360581e-08,4.12918648506585e-07,NS
SLC30A10,128.306123898608,-0.0767195964439824,0.142755250724773,-0.537420487544062,0.590977194656244,0.648947491791379,NS
SLC30A3,514.308340092415,-0.370403589838121,0.276306524287417,-1.34055318018051,0.180065567107906,0.231436215672398,NS
SLC30A4,237.592753968267,-0.0445663888849762,0.0842858649897845,-0.528752821014267,0.596976929812494,0.654567550127621,NS
SLC30A5,529.19870021497,0.211164999880964,0.045932315177574,4.59730799687761,4.2798472009266e-06,1.38802157373508e-05,NS
SLC30A6,489.259284223584,-0.029891911893495,0.0919428721882709,-0.325113966771513,0.745094818717955,0.78637055249869,NS
SLC30A7,382.37868307101,0.36362833506013,0.111504317242698,3.26111440392629,0.00110975255558858,0.00230028137942968,NS
SLC30A9,1888.91764485118,-0.0665170258114232,0.0539147346365395,-1.23374484284938,0.217297998416958,0.273043900782169,NS
SLC31A1,716.024315785839,0.410911500055499,0.058453461865931,7.0297205150649,2.06947645757768e-12,2.11668190670453e-11,NS
SLC31A2,17.6720364534778,0.178700634405243,0.215938681263795,0.827552680045029,0.407923876244497,0.47333049962118,NS
SLC32A1,303.139011536394,-0.408968552024788,0.260221080197364,-1.57161960789113,0.116038796320209,0.156752808078365,NS
SLC33A1,780.120719577465,0.213997101374216,0.0797058272320679,2.68483633889341,0.0072565329859585,0.0128016567142787,NS
SLC34A2,34.9705123188416,2.4700228474526,0.269186096186623,9.17589311797207,4.47846425944296e-20,1.8357179762444e-18,Up
SLC34A3,133.911528550002,-0.559411429565012,0.18520117110501,-3.02056097284516,0.00252306902619437,0.00488950052927257,NS
SLC35A1,244.610290558481,-0.226266931435341,0.119973310349396,-1.88597722923863,0.0592980232217592,0.0861551658553164,NS
SLC35A2,158.852917859318,0.263663661592384,0.0723107916184633,3.64625605239622,0.000266088844129226,0.00062298487204754,NS
SLC35A3,359.201776357952,0.498032343821607,0.0925379420358531,5.38192586591831,7.3693116033568e-08,3.262920511339e-07,NS
SLC35A4,1625.78563717888,0.058225764286594,0.0695558702379671,0.837107839890291,0.402531953992931,0.467910246148185,NS
SLC35A5,935.332095156786,0.332691917200564,0.0841769552002112,3.95229212566873,7.74061632405608e-05,0.000200872396757919,NS
SLC35B1,1157.06011997735,-0.0451544636412896,0.0685209092483583,-0.658988097744361,0.509903411734851,0.572745981543153,NS
SLC35B2,1205.04393614154,0.341109961964007,0.0814975755748448,4.18552281534734,2.8451048801807e-05,7.9899208330611e-05,NS
SLC35B3,352.471573209031,0.161302608501836,0.0746101011358335,2.16194062259977,0.0306227532873427,0.047403064215158,NS
SLC35B4,949.828482204675,0.22076014486759,0.0582159951048947,3.79208745757622,0.000149386282392769,0.000367511084540683,NS
SLC35C1,461.269854978555,0.309157324251302,0.073980840036956,4.17888366902656,2.92943472290848e-05,8.20686648640842e-05,NS
SLC35C2,1682.54798877496,-0.423092039706697,0.0664525871869273,-6.36682569659121,1.92980265155148e-10,1.35963806143617e-09,NS
SLC35D1,307.096254948911,0.716622355068801,0.094127476035874,7.61331744193035,2.67148569779926e-14,3.9710215976811e-13,Up
SLC35D2,504.655233839945,0.101798803629945,0.0789344447936152,1.28966262949099,0.197167820147232,0.250581589150476,NS
SLC35E1,936.751875321475,0.0605408604358043,0.0655127345567285,0.924108279793771,0.355429942862498,0.41964931863137,NS
SLC35E2,150.152719537888,-0.270616013944544,0.139449431008633,-1.94060321356056,0.0523064240149799,0.0769265085268781,NS
SLC35E2B,1762.73891419042,0.207981669225655,0.0985134970702607,2.1111997382178,0.0347551473343454,0.0531560870188537,NS
SLC35E3,508.288916481875,0.516569381940702,0.0838009372519255,6.16424349035348,7.08208967642119e-10,4.5151798753994e-09,NS
SLC35E4,298.134117649152,-0.0575459206765683,0.0855476940639315,-0.672676467860877,0.501153141685516,0.564096172474626,NS
