,0
846,ABCC3
847,SLFN5
848,GPR156
849,SLC37A2
850,TTF2
851,CDC6
852,VNN1
853,LINC00886
854,FKBP9
855,TCF19
856,TPBG
857,TNFRSF12A
858,MBOAT1
859,GPR82
860,LINC00702
861,NUF2
862,ANXA1
863,HCFC1
864,AMIGO2
865,CHSY3
866,CISH
867,HOXD3
868,RASSF5
869,CD163
870,DEPDC1B
871,SBSPON
872,MDFIC
873,LUM
874,NEK6
875,NETO2
876,CCDC170
877,EMR1
878,SOX10
879,SEMA3A
880,MREG
881,RHBDF1
882,GOLGA8R
883,CDK1
884,RAD51
885,DNAH12
886,EGFLAM
887,SLFN11
888,MYD88
889,PINLYP
890,BACE2
891,MAB21L1
892,ECT2
893,SIGLEC7
894,SOWAHC
895,KHNYN
896,RCAN3
897,C21orf88
898,KIF23
899,GALR1
900,ALPK3
901,TC2N
902,CCDC108
903,COL27A1
904,TRAF5
905,EXOC3L2
906,CRNDE
907,MMP19
908,PAWR
909,CDCP1
910,CLEC17A
911,SPRY1
912,TMEM185B
913,ADAMTSL1
914,KLF6
915,MYO5B
916,EME1
917,ENPEP
918,RAB34
919,TMEM255A
920,FAM26E
921,IRX5
922,IKBKE
923,UBE2C
924,PLS3
925,TRPV4
926,PCDHGA11
927,CASP4
928,COL5A1
929,CRISPLD1
930,CDK15
931,SLAMF8
932,MOXD1
933,ECM2
934,RAB38
935,PTPN13
936,HMMR
937,ASPM
938,OSMR
939,CD276
940,ADM
941,MGARP
942,KMO
943,FCGR2B
944,DNAJC22
945,CASP8
946,GAB3
947,TRIO
948,CALU
949,CENPK
950,PLEK2
951,E2F8
952,DDX60L
953,CD3E
954,DNAJB13
955,LOXL1
956,KCNK13
957,CNTNAP3B
958,DPY19L1
959,ESPN
960,ADAMTS3
961,CKAP2L
962,OTX1
963,FPR3
964,CDCA2
965,PRMT6
966,ABCB4
967,TNFSF8
968,PLEKHG4B
969,CENPA
970,TRIM38
971,EGR2
972,HOXD8
973,ZIC1
974,SMOC2
975,COL8A1
976,ZBTB42
977,NR5A2
978,SNX20
979,ANGPT2
980,DUSP4
981,RASEF
982,SCIN
983,BGN
984,PAQR9
985,FZD5
986,GBP5
987,C9orf170
988,DNAH11
989,SGOL1
990,LOX
991,FCGR2C
992,C7
993,RUNX2
994,LINC00900
995,DLGAP5
996,HELB
997,ANKRD53
998,JUN
999,AK7
1000,CD248
1001,PRICKLE3
1002,AIM1
1003,FAM115C
1004,COL4A2
1005,KLHL29
1006,P4HB
1007,TBC1D8B
1008,TREM1
1009,ANPEP
1010,THBS4
1011,MIR155HG
1012,DTHD1
1013,IGF2
1014,MYO5C
1015,FKBP9L
1016,ARSJ
1017,CDK2
1018,LAMA4
1019,PIK3CG
1020,LEF1
1021,DPP4
1022,CYP1B1
1023,CDCA7L
1024,PASK
1025,CFI
1026,CCNB1
1027,CCDC109B
1028,CRB2
1029,MEIS3P2
1030,TLR8
1031,HAS2
1032,E2F7
1033,EFHC2
1034,HOXB2
1035,DKK1
1036,EGFR
1037,GPR124
1038,BDKRB2
1039,CD8B
1040,TP63
1041,TES
1042,FKBP10
1043,PDGFD
1044,LAIR1
1045,SPRY4
1046,NPNT
1047,BST1
1048,FZD1
1049,NKIRAS2
