,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
NBPF10,74.9636900177819,1.2416143836495,0.152940455820401,8.1182861459988,4.72812956344031e-16,2.51794616383737e-15,Up
NBPF12,89.7463289748042,1.31149258622249,0.148445693674156,8.83483079745826,1.00249880786477e-18,6.61217417686342e-18,Up
NBPF14,140.192181140436,1.57698271062199,0.167168128081535,9.43351300705375,3.96579205470584e-21,3.15707389073003e-20,Up
NBPF15,138.548542581704,1.25207339369169,0.147290966819602,8.50068012130846,1.88483094980942e-17,1.12397413583051e-16,Up
NBPF16,47.1012528105548,1.41725571093375,0.148005672316839,9.5756850987427,1.01184214516621e-21,8.53206322095474e-21,Up
NBPF20,50.3671064522829,1.85125284837473,0.146287659551887,12.6548804871549,1.05135443741939e-36,2.91719405610113e-35,Up
NBPF3,134.929598108122,0.988329563549127,0.123246879649767,8.01910414574133,1.06519165591262e-15,5.50818444051408e-15,Up
NBPF9,123.815848278922,0.170304110881494,0.100407055121605,1.69613689670745,0.0898599575647051,0.112912744324996,NS
NBR1,3451.64799831584,-0.265964035666919,0.0453593148092259,-5.86349323805973,4.53229313746405e-09,1.2830167807345e-08,NS
NBR2,202.654366928797,-0.353762051555362,0.0821357891783,-4.3070390519706,1.65454408161856e-05,3.28641208184439e-05,NS
NCALD,1310.4746697724,-0.35114186769737,0.109912974512372,-3.19472627553941,0.001399635186282,0.00224783598928756,NS
NCAM1,3191.87012373054,0.617417758056543,0.166232123397019,3.71419040700057,0.000203855265963633,0.000360258974101435,Up
NCAM2,2133.6576866025,-0.260152907342586,0.094596110632823,-2.75014380191989,0.00595691164368295,0.00884491308088746,NS
NCAN,14821.4439465744,0.207599866120389,0.124983678779885,1.66101580739998,0.0967102720108956,0.120837590276411,NS
NCAPD2,1097.00575039614,0.564675438388554,0.0812280337868234,6.95173097345309,3.60831025508917e-12,1.36146192609501e-11,NS
NCAPD3,624.976001338948,0.36757061383035,0.0764450196605876,4.80830033744967,1.52218957009579e-06,3.37681851876382e-06,NS
NCAPG,102.587049163268,1.63146267486217,0.183647794301151,8.88364971150622,6.47018048399749e-19,4.32375338066066e-18,Up
NCAPG2,416.587189607905,0.822890346927249,0.102963071018666,7.99209210434363,1.32667860315554e-15,6.79755274192574e-15,Up
NCAPH,117.897999981422,1.12820190561349,0.14903353965844,7.57012084795907,3.72877188853556e-14,1.67846437312005e-13,Up
NCAPH2,2771.94126105991,-0.406645610289629,0.101983059224999,-3.98738391826894,6.68058729222238e-05,0.00012449976225873,NS
NCBP1,853.588906594233,0.0958125598324088,0.0543390800537293,1.76323485303158,0.07786088776646,0.0987450527560887,NS
NCBP2,2382.71555575495,-0.396827220330646,0.0625472877409311,-6.34443530108438,2.2324277949082e-10,7.16283217373985e-10,NS
NCDN,5709.19180716567,-0.323188186749532,0.150820848363965,-2.14286148271495,0.0321242226225202,0.0430124871408684,NS
NCEH1,374.760472156214,0.367574899528768,0.135951515578575,2.70372049891804,0.00685679379829957,0.0101043555999999,NS
NCF1,133.061880913197,0.0954749416103599,0.149454415462339,0.638823157649822,0.522937981485444,0.564909444660703,NS
NCF1B,96.6273373374406,-0.48321071810964,0.169832939618356,-2.84521200183838,0.00443818733318513,0.00670207989508429,NS
NCF1C,54.2176567259402,0.194514270514455,0.159229142248498,1.22159968814559,0.221859046633454,0.259959290042173,NS
NCF2,198.75038836219,0.716246877902229,0.113139645307378,6.33064454070302,2.44139192576316e-10,7.80552959207951e-10,Up
NCF4,240.985158262896,-0.339005437895458,0.147501004103102,-2.29832630602634,0.0215432243257486,0.0295970899073678,NS
NCK1,300.787943222289,-0.0511938780554684,0.0768089308805604,-0.66650944712505,0.505085527295687,0.547701802329053,NS
NCK2,1207.13767799342,0.260383171857636,0.0740493916771094,3.51634450952724,0.000437532853188022,0.000746325480553591,NS
NCKAP1,3420.76664525335,-0.0873422278547084,0.0686718274054605,-1.27187860225434,0.203416255625148,0.240134739004175,NS
NCKAP1L,474.959245148884,0.585228338868306,0.109946508600254,5.32284604867349,1.02156198195137e-07,2.54091236454715e-07,Up
NCKAP5,330.352464234251,1.00837968004847,0.118344467614122,8.52071668729315,1.58568994563456e-17,9.50477075241512e-17,Up
NCKAP5L,1947.32576274599,0.205280473380035,0.0661513190812769,3.10319546504911,0.00191443151705048,0.00301728831777487,NS
NCKIPSD,1542.77510744654,-0.446712560255584,0.0874090350843304,-5.11059937710793,3.21138331523271e-07,7.63208989353696e-07,NS
NCL,9457.24907789228,-0.371822137544955,0.0577648181155351,-6.43682694198528,1.219968920891e-10,4.00536721761787e-10,NS
NCLN,3148.99215364029,-0.219525645697863,0.102985204764366,-2.13162314140314,0.0330378397765025,0.0441774623323328,NS
NCLP1,15.5498514003741,1.15757119932996,0.155904951175359,7.42485206918122,1.12906032235503e-13,4.87158616493003e-13,Up
NCMAP,18.5514842779158,0.983445804935492,0.198193088702208,4.96205902726081,6.97497900021543e-07,1.60297124637543e-06,Up
NCOA1,2248.94577082586,0.257598298169618,0.0715253784381713,3.6014950748187,0.000316392417748242,0.000549447065891672,NS
NCOA2,992.647647639085,0.720366497762598,0.0911432390871227,7.90367453447653,2.70799533874476e-15,1.34217344545053e-14,Up
NCOA3,791.213366880032,0.445288411155767,0.0709466131675407,6.27638714908372,3.46530691661804e-10,1.09178691518913e-09,NS
NCOA4,730.288553840674,0.492935359882416,0.184624136196874,2.66993996579501,0.00758648098570391,0.0111130547206882,NS
NCOA5,1130.15589542339,-0.15306955749165,0.0488123868915418,-3.13587528165261,0.00171342052356089,0.00272135439710766,NS
NCOA6,1340.40703652966,0.0325729200297995,0.0579516728432933,0.562070401623775,0.574068053552628,0.613932839983282,NS
NCOA7,661.699378729639,-0.184911797827284,0.109158725327713,-1.69397175784297,0.0902706498374938,0.113384909708442,NS
NCOR1,2265.94785403836,0.365873502487782,0.0804990431202374,4.54506647912938,5.49179183098797e-06,1.15156652887995e-05,NS
NCOR2,13177.8097463575,-0.0828367211830505,0.0760670368999644,-1.08899629273044,0.27615552052596,0.316945231505153,NS
NCR3LG1,180.316869075876,0.675467670872681,0.183052127231079,3.69002907035323,0.000224228426689797,0.000394074904940319,Up
NCS1,811.920529598586,0.259097529358402,0.135973684695028,1.90549759638804,0.0567154195934515,0.0733549554454904,NS
NCSTN,1516.14277917266,0.166665707405119,0.0658358367520705,2.53153473286535,0.0113564569446309,0.0161953270241081,NS
NDC1,372.66929783134,0.623391717182038,0.0598768079389696,10.4112383181388,2.2033668039844e-25,2.44484380332745e-24,Up
NDC80,115.611133502696,0.7283519025822,0.168152518240013,4.33149565766589,1.48099868924306e-05,2.95616954301443e-05,Up
NDE1,382.030470973611,1.3957090789298,0.106247657561201,13.136375059618,2.03756205955015e-39,6.72229824199552e-38,Up
NDEL1,768.721011148334,0.241986789312124,0.0750757406589903,3.22323545779293,0.00126751316774524,0.00204617342007367,NS
NDFIP1,6507.17254013174,-0.489484836027263,0.0604086716574878,-8.10289024070256,5.36686543291993e-16,2.8441057690877e-15,NS
NDFIP2,1097.32909608998,-0.427583843826955,0.0920855669069559,-4.64333182917785,3.42835061511057e-06,7.32319873463281e-06,NS
NDN,1725.2963886389,-0.730025188761267,0.0819779634996846,-8.90513935204155,5.33190250521106e-19,3.58671535286307e-18,Down
NDNF,57.5407787455811,0.615178000220266,0.200234943683624,3.07228093610006,0.00212429692133884,0.00333606691439358,Up
NDNL2,482.438376094485,-0.245295917275275,0.0677123872474614,-3.62261511145395,0.000291639608016954,0.000507710651794422,NS
