"sample","stromal","immune","estimate","purity"
"CGGA_1591",-1366.47775544649,-888.117403856653,-2254.59515930314,0.962685767773925
"CGGA_1592",-1648.99110288854,-910.764191791051,-2559.75529467959,0.973838281937916
"CGGA_1594",-1128.9572864177,-63.3833386304404,-1192.34062504814,0.908980160691273
"CGGA_1595",-1699.01398275596,-467.211745528571,-2166.22572828453,0.959094476714076
"CGGA_1596",-1073.58440170257,128.168388391154,-945.41601331142,0.893277826329148
"CGGA_1597",-408.063245755566,1243.84002448696,835.77677873139,0.746726491803251
"CGGA_1598",-1385.40225315041,322.895764984225,-1062.50648816619,0.900871384516172
"CGGA_1601",-293.960340662732,1017.91339610756,723.953055444828,0.75754315417546
"CGGA_1603",-899.996368217622,288.851095661793,-611.145272555829,0.870155682637318
"CGGA_1604",-807.713587071901,449.798050932326,-357.915536139575,0.851241720565265
"CGGA_1605",-1335.31885654452,-750.380983403777,-2085.6998399483,0.955681399675428
"CGGA_1606",-1305.27903670811,-599.224663073139,-1904.50369978125,0.947513927211706
"CGGA_1607",-808.339271081012,379.713985892784,-428.625285188228,0.85664259231658
"CGGA_1608",-990.524291970443,1324.92331663696,334.399024666521,0.793612217300465
"CGGA_1610",-199.321398762397,1005.5616355656,806.240236803206,0.749603221833868
"CGGA_1611",-1780.72361754428,-670.836611595376,-2451.56022913966,0.970106609989562
"CGGA_1612",-636.225090361286,645.730972177174,9.50588181588842,0.821714966951494
"CGGA_1613",-513.405969481509,1160.84802346791,647.442053986397,0.764826606657731
"CGGA_1614",-1164.57605001125,256.216363435601,-908.359686575645,0.890819568625329
"CGGA_1615",-735.698678394654,538.516703600817,-197.181974793838,0.83862453094035
"CGGA_1617",-1710.38758054758,-716.067556789642,-2426.45513733722,0.969205719186326
"CGGA_1618",-1654.36624038616,-495.76816009674,-2150.1344004829,0.958423146585392
"CGGA_1619",-1335.82692571096,-367.601229563513,-1703.42815527447,0.937666053761185
"CGGA_1620",-1501.88787999033,-683.379531018532,-2185.26741100886,0.959881982840605
"CGGA_1621",-1448.52102862265,-367.002008652719,-1815.52303727537,0.943257328733166
"CGGA_1623",-844.144895820279,-114.872292341851,-959.01718816213,0.894173479737963
"CGGA_1624",-1566.95040226795,-151.350758989736,-1718.30116125768,0.938422557314374
"CGGA_1626",-414.564144207413,952.456156688834,537.892012481422,0.775087027684564
"CGGA_1627",-1360.88493938278,19.0906274194879,-1341.79431196329,0.917905349969971
"CGGA_1630",-1293.67604004326,47.2411604546174,-1246.43487958864,0.912261345600427
"CGGA_1631",-565.620698495629,881.357071337225,315.736372841596,0.795275990767495
