,Dataset,Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
18,tidied_integrated_df_2,LogisticRegression,0.7346659051970302,0.055102884876929256,0.3683135545065128,0.06377270713427712,0.5883040935672514,0.09937047497354176,0.44465459440762106,0.053566902798104374,0.7252126230609203,0.04200793390139151,0.4083292089387035,0.06256620395098737
19,tidied_integrated_df_2,NaiveBayes,0.5107747953550352,0.05007865721036041,0.23379145206469687,0.016618459950245478,0.7508771929824561,0.07117706236877469,0.35546483065670653,0.01822915138469007,0.6717211328976035,0.07373439628935613,0.37215582137459075,0.03633131318143354
20,tidied_integrated_df_2,Ensemble,0.8126023224823911,0.06799305610500905,0.5153205128205128,0.16012743527970796,0.5005847953216375,0.1037809880718763,0.5004838298955947,0.12294309001587968,0.7518453814274247,0.06023119002063269,0.45375783748981435,0.09217622747347327
21,tidied_integrated_df_3,Deep,0.8459546925566344,0.023635675904867606,0.6118347338935575,0.06855873195833066,0.3824561403508772,0.1486277759804457,0.4570231709542054,0.12278622897317776,0.7659188821727522,0.03235731862694293,0.4518200633219235,0.07232962851049042
22,tidied_integrated_df_3,SVM,0.7952217780316009,0.04846866391138249,0.4549281900403182,0.10209269894270537,0.576608187134503,0.0920825183092561,0.5062411825414419,0.09368693146008018,0.7811659049584747,0.07050485835841871,0.45177962650266046,0.12040314125908716
23,tidied_integrated_df_3,RandomForest,0.8284028174376546,0.03200179765856728,0.5541758241758241,0.14135712908190198,0.3596491228070175,0.07061267297367757,0.4306061564410711,0.08094915904575874,0.807302774911134,0.058270615509692134,0.502547698287013,0.10617501489067371
24,tidied_integrated_df_3,XGBoost,0.822596611460118,0.018998285926492105,0.5233333333333333,0.07585622365150184,0.3707602339181286,0.059448119077663245,0.4267300455535749,0.0426322798018927,0.7893426376398512,0.06312201620156555,0.4812711241663745,0.10298573199974957
25,tidied_integrated_df_3,LogisticRegression,0.7503712164477442,0.040965261800361766,0.3895847879718848,0.05826849758413315,0.6321637426900584,0.08587535614400293,0.4772445867235783,0.04917598859438397,0.7433366094976002,0.02600565644113644,0.41135673937598966,0.05146037124546184
26,tidied_integrated_df_3,NaiveBayes,0.436950314106225,0.09940561759261725,0.21060765644309626,0.02443915130929984,0.7602339181286549,0.11489405090285672,0.32770892208470104,0.03442564684336722,0.674785943617213,0.038565003833795054,0.38167716014215786,0.12268456432799728
27,tidied_integrated_df_3,Ensemble,0.8167142585189415,0.04552661961579673,0.5093737373737374,0.11623130803555623,0.5444444444444445,0.05692074554336296,0.5216874628639335,0.07879578506864217,0.7823298442183891,0.043935708054199635,0.4776263511897841,0.09933669847458529
