,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Change
FNBP1,1938.10102965018,0.136693000063576,0.0923054685152465,1.4808765099437,0.138639483610655,0.187112006150175,NS
FNBP1L,735.079677192671,0.919651033674616,0.155309601140977,5.92140490297075,3.19202868519912e-09,1.93548784528025e-08,NS
FNBP1P1,95.0202720050986,0.197749134537718,0.233937237244976,0.845308497554997,0.39793861784072,0.467492194021174,NS
FNBP4,1677.4379847362,0.0572749013303727,0.0936409781710851,0.611643560853557,0.540773610680166,0.607546874900364,NS
FNDC1,78.6198773971713,2.90013795820893,0.319659286138089,9.07259098662976,1.16219866996818e-19,6.85993047669944e-18,Up
FNDC3A,1591.65216225666,0.374658961904453,0.113045369165156,3.31423537886887,0.000918941149361609,0.00202199440645759,NS
FNDC3B,598.456223387793,0.656561974515354,0.191133905434555,3.43508899178625,0.000592359268301379,0.00135673425187921,NS
FNDC4,1940.77492214155,-0.347385057030231,0.118142921496347,-2.94037977587149,0.00327810186619776,0.00643022954587577,NS
FNDC5,535.659609408969,-0.279262246682531,0.145593066850409,-1.91810127174161,0.0550981712556415,0.0824516931706069,NS
FNDC7,14.2730964078937,-0.0289626782735645,0.259282872963901,-0.111703013556151,0.911058889814978,0.92833069048818,NS
FNDC9,91.2650586094882,-0.31721003121115,0.272026039658013,-1.16610171441654,0.243573323594484,0.30703441706808,NS
FNIP1,826.334179251387,-0.218328558869168,0.08278124692677,-2.63741568259181,0.00835403909891606,0.0150119298852658,NS
FNIP2,822.556576615356,0.291322814640677,0.105497199822845,2.76142698697101,0.00575493826399315,0.010735482357796,NS
FNTA,1050.60196190995,-0.155791447719948,0.066871723581173,-2.32970588130331,0.0198217014927499,0.0327310130854849,NS
FNTB,423.466631003985,-0.334438795986355,0.144561847941823,-2.31346514137634,0.0206970791673841,0.0340414417919727,NS
FOCAD,717.218249349159,-0.865972635106407,0.241535861233256,-3.58527562195049,0.000336722398516456,0.000813829358653829,NS
FOLH1,444.084190138904,0.450959352482469,0.248169126697671,1.81714526090848,0.0691948739861896,0.100832318389786,NS
FOLR1,72.6418959951728,0.220736830651162,0.248754454372171,0.887368353697535,0.374880615684305,0.444619476383723,NS
FOLR2,781.213520578594,-0.322337820827862,0.210840466379241,-1.52882331538799,0.126308250739274,0.172144040806036,NS
FOPNL,538.681633070365,0.0354624490119245,0.0555148234689954,0.63879243048895,0.522957973200307,0.590432901230255,NS
FOS,4956.05699068611,0.219869927013035,0.242264592882187,0.907561127266983,0.364110139997777,0.433715109154173,NS
FOSB,853.301971179225,0.132697053422574,0.29197901987501,0.454474617660469,0.649487256865369,0.706885114151089,NS
