,ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,Change
3660,ENSG00000112079.8,1433.59218984573,0.506336165624835,0.0484559700259654,10.4494072733145,1.47443812132846e-25,4.55937530039264e-25,STK38,NS
3661,ENSG00000112081.16,10109.8294716146,0.436884370496714,0.0297306020299718,14.6947703936935,6.96341142069459e-49,4.8490879937387e-48,SRSF3,NS
3662,ENSG00000112096.16,30193.7558562971,1.73937846062923,0.121889138533142,14.2701678062668,3.35769698575108e-46,2.14649781121518e-45,SOD2,Up
3663,ENSG00000112110.9,1948.30293403977,0.0986697315795021,0.0361533706697839,2.72919868193557,0.00634884400088776,0.00786244521559216,MRPL18,NS
3664,ENSG00000112118.17,3223.76546202569,0.59394527836093,0.0500226317675569,11.8735311872604,1.62462491320818e-32,6.45318762736266e-32,MCM3,NS
3665,ENSG00000112130.16,1137.73796320856,-0.0729518547958228,0.0345209688282949,-2.11326209176459,0.0345783414115251,0.0406077206475151,RNF8,NS
3666,ENSG00000112137.16,2227.07979763909,-1.24674382072249,0.0881657565442597,-14.1409076447568,2.12525466730372e-45,1.32034906746636e-44,PHACTR1,Down
3667,ENSG00000112139.14,1442.37418063491,-0.43105548869372,0.0850360906179246,-5.06908873116585,3.99724860948357e-07,6.19712537672279e-07,MDGA1,NS
3668,ENSG00000112144.15,2111.97096847103,-0.951017181696305,0.0547295521808396,-17.3766666051627,1.23952169831307e-67,1.63158607118129e-66,ICK,NS
3669,ENSG00000112146.16,2551.68521334678,0.207342766506964,0.036704629488682,5.64895408005409,1.61426965035924e-08,2.66193038926693e-08,FBXO9,NS
3670,ENSG00000112149.9,1071.46035166888,0.156280231291338,0.0942499886746709,1.65814588934097,0.097288023433062,0.109988025609991,CD83,NS
3671,ENSG00000112159.11,3195.61885905485,-1.31683497692662,0.0536673139733775,-24.537001750821,5.95339825137596e-133,6.39226656226273e-131,MDN1,Down
3672,ENSG00000112167.9,929.050700594636,-0.122892675685298,0.0389002666093113,-3.15917309563843,0.00158217489044868,0.0020380153667057,SAYSD1,NS
3673,ENSG00000112182.14,562.641863138974,-0.460816775252621,0.0669714745504257,-6.88079183482293,5.95207748424337e-12,1.12429957674185e-11,BACH2,NS
3674,ENSG00000112183.14,86.2627160660272,0.722039756629221,0.153250403073098,4.7115031487703,2.45896297279637e-06,3.66432296512919e-06,RBM24,NS
3675,ENSG00000112186.11,1830.83258314113,0.0131027405451261,0.115133973574876,0.113804293713574,0.909392934818788,0.917129594652751,CAP2,NS
3676,ENSG00000112200.16,1877.89323637978,-0.25815316129937,0.0272744026718283,-9.46503446493501,2.93464267568742e-21,7.7861679156846e-21,ZNF451,NS
3677,ENSG00000112208.11,633.453534681033,-0.0914892210213997,0.0573205538864706,-1.59609799309692,0.110466916697849,0.12418218098117,BAG2,NS
3678,ENSG00000112210.11,1187.61553360362,0.25672961290245,0.0643416200071741,3.99010178596412,6.60449465045924e-05,9.19705142198805e-05,RAB23,NS
3679,ENSG00000112214.10,154.825686602702,0.0465839810162673,0.0905800633356283,0.514285145105923,0.607052645954907,0.628727623011122,FHL5,NS
